video_name,frame,label_name,left,top,right,bottom,gaze_direction
-YwZOeyAQC8_15.mp4,1,head1,0,101,94,228,"head1, neither"
-YwZOeyAQC8_15.mp4,1,head2,86,211,155,286,"head2, object1"
-YwZOeyAQC8_15.mp4,1,object1,189,279,243,327,
-YwZOeyAQC8_15.mp4,2,head1,0,101,93,225,"head1, neither"
-YwZOeyAQC8_15.mp4,2,head2,86,211,154,285,"head2, object1"
-YwZOeyAQC8_15.mp4,2,object1,189,279,242,325,
-YwZOeyAQC8_15.mp4,3,head1,0,101,92,223,"head1, neither"
-YwZOeyAQC8_15.mp4,3,head2,86,211,153,284,"head2, object1"
-YwZOeyAQC8_15.mp4,3,object1,189,279,241,323,
-YwZOeyAQC8_15.mp4,4,head1,0,101,91,220,"head1, neither"
-YwZOeyAQC8_15.mp4,4,head2,86,211,152,283,"head2, object1"
-YwZOeyAQC8_15.mp4,4,object1,189,279,241,321,
-YwZOeyAQC8_15.mp4,5,head1,0,101,90,218,"head1, neither"
-YwZOeyAQC8_15.mp4,5,head2,86,211,151,282,"head2, object1"
-YwZOeyAQC8_15.mp4,5,object1,189,279,240,319,
-YwZOeyAQC8_15.mp4,6,head1,0,101,90,216,"head1, neither"
-YwZOeyAQC8_15.mp4,6,head2,86,211,151,282,"head2, object1"
-YwZOeyAQC8_15.mp4,6,object1,189,279,240,318,
-YwZOeyAQC8_15.mp4,7,head1,0,100,90,215,"head1, neither"
-YwZOeyAQC8_15.mp4,7,head2,85,210,150,281,"head2, object1"
-YwZOeyAQC8_15.mp4,7,object1,188,278,238,316,
-YwZOeyAQC8_15.mp4,8,head1,0,99,90,215,"head1, neither"
-YwZOeyAQC8_15.mp4,8,head2,85,209,151,281,"head2, object1"
-YwZOeyAQC8_15.mp4,8,object1,188,277,239,316,
-YwZOeyAQC8_15.mp4,9,head1,0,98,90,215,"head1, neither"
-YwZOeyAQC8_15.mp4,9,head2,85,208,152,280,"head2, object1"
-YwZOeyAQC8_15.mp4,9,object1,187,276,237,315,
-YwZOeyAQC8_15.mp4,10,head1,0,97,90,215,"head1, neither"
-YwZOeyAQC8_15.mp4,10,head2,85,207,153,280,"head2, object1"
-YwZOeyAQC8_15.mp4,10,object1,187,275,238,314,
-YwZOeyAQC8_15.mp4,11,head1,0,97,90,216,"head1, neither"
-YwZOeyAQC8_15.mp4,11,head2,85,206,154,280,"head2, object1"
-YwZOeyAQC8_15.mp4,11,object1,187,275,238,314,
-YwZOeyAQC8_15.mp4,12,head1,0,95,90,214,"head1, neither"
-YwZOeyAQC8_15.mp4,12,head2,85,205,154,279,"head2, object1"
-YwZOeyAQC8_15.mp4,12,object1,187,274,238,313,
-YwZOeyAQC8_15.mp4,13,head1,0,94,90,213,"head1, neither"
-YwZOeyAQC8_15.mp4,13,head2,85,204,154,278,"head2, object1"
-YwZOeyAQC8_15.mp4,13,object1,187,273,237,312,
-YwZOeyAQC8_15.mp4,14,head1,0,92,90,211,"head1, neither"
-YwZOeyAQC8_15.mp4,14,head2,85,203,154,277,"head2, object1"
-YwZOeyAQC8_15.mp4,14,object1,187,273,238,312,
-YwZOeyAQC8_15.mp4,15,head1,0,91,90,210,"head1, neither"
-YwZOeyAQC8_15.mp4,15,head2,85,202,154,276,"head2, object1"
-YwZOeyAQC8_15.mp4,15,object1,187,272,238,311,
-YwZOeyAQC8_15.mp4,16,head1,0,90,90,209,"head1, neither"
-YwZOeyAQC8_15.mp4,16,head2,85,201,154,275,"head2, object1"
-YwZOeyAQC8_15.mp4,16,object1,188,272,239,311,
-YwZOeyAQC8_15.mp4,17,head1,0,90,89,209,"head1, neither"
-YwZOeyAQC8_15.mp4,17,head2,83,200,152,274,"head2, object1"
-YwZOeyAQC8_15.mp4,17,object1,187,272,238,311,
-YwZOeyAQC8_15.mp4,18,head1,0,90,88,209,"head1, neither"
-YwZOeyAQC8_15.mp4,18,head2,82,200,150,274,"head2, object1"
-YwZOeyAQC8_15.mp4,18,object1,186,273,237,312,
-YwZOeyAQC8_15.mp4,19,head1,0,90,87,209,"head1, neither"
-YwZOeyAQC8_15.mp4,19,head2,80,199,149,272,"head2, object1"
-YwZOeyAQC8_15.mp4,19,object1,185,274,236,313,
-YwZOeyAQC8_15.mp4,20,head1,0,90,86,209,"head1, neither"
-YwZOeyAQC8_15.mp4,20,head2,79,199,148,272,"head2, object1"
-YwZOeyAQC8_15.mp4,20,object1,184,275,234,314,
-YwZOeyAQC8_15.mp4,21,head1,0,90,85,209,"head1, neither"
-YwZOeyAQC8_15.mp4,21,head2,78,199,147,273,"head2, object1"
-YwZOeyAQC8_15.mp4,21,object1,184,276,235,315,
-YwZOeyAQC8_15.mp4,22,head1,0,91,85,210,"head1, neither"
-YwZOeyAQC8_15.mp4,22,head2,77,199,146,273,"head2, object1"
-YwZOeyAQC8_15.mp4,22,object1,183,277,233,316,
-YwZOeyAQC8_15.mp4,23,head1,0,92,85,211,"head1, neither"
-YwZOeyAQC8_15.mp4,23,head2,77,200,146,274,"head2, object1"
-YwZOeyAQC8_15.mp4,23,object1,183,278,234,317,
-YwZOeyAQC8_15.mp4,24,head1,0,93,85,212,"head1, neither"
-YwZOeyAQC8_15.mp4,24,head2,77,200,146,274,"head2, object1"
-YwZOeyAQC8_15.mp4,24,object1,182,279,232,318,
-YwZOeyAQC8_15.mp4,25,head1,0,94,85,213,"head1, neither"
-YwZOeyAQC8_15.mp4,25,head2,77,201,146,274,"head2, object1"
-YwZOeyAQC8_15.mp4,25,object1,182,280,233,319,
-YwZOeyAQC8_15.mp4,26,head1,0,95,85,214,"head1, neither"
-YwZOeyAQC8_15.mp4,26,head2,77,202,146,276,"head2, object1"
-YwZOeyAQC8_15.mp4,26,object1,182,281,233,320,
-YwZOeyAQC8_15.mp4,27,head1,0,95,83,214,"head1, neither"
-YwZOeyAQC8_15.mp4,27,head2,77,202,146,276,"head2, object1"
-YwZOeyAQC8_15.mp4,27,object1,181,281,232,319,
-YwZOeyAQC8_15.mp4,28,head1,0,95,82,214,"head1, neither"
-YwZOeyAQC8_15.mp4,28,head2,77,203,146,277,"head2, object1"
-YwZOeyAQC8_15.mp4,28,object1,181,281,232,320,
-YwZOeyAQC8_15.mp4,29,head1,0,95,81,214,"head1, neither"
-YwZOeyAQC8_15.mp4,29,head2,77,203,146,277,"head2, object1"
-YwZOeyAQC8_15.mp4,29,object1,180,281,231,320,
-YwZOeyAQC8_15.mp4,30,head1,0,95,80,214,"head1, neither"
-YwZOeyAQC8_15.mp4,30,head2,77,204,146,278,"head2, object1"
-YwZOeyAQC8_15.mp4,30,object1,180,281,231,320,
-YwZOeyAQC8_15.mp4,31,head1,0,95,79,214,"head1, neither"
-YwZOeyAQC8_15.mp4,31,head2,77,205,146,279,"head2, object1"
-YwZOeyAQC8_15.mp4,31,object1,180,282,231,321,
-YwZOeyAQC8_15.mp4,32,head1,0,95,79,214,"head1, neither"
-YwZOeyAQC8_15.mp4,32,head2,77,205,145,278,"head2, object1"
-YwZOeyAQC8_15.mp4,32,object1,180,282,231,321,
